qid,content,q_type,option_count,options,answer_key,score
101,同济大学的建校时间是哪一年？,0,4,1907年|1912年|1919年|1927年,1,1
102,同济大学最初的校名是？,0,4,同济德文医学堂|上海医科大学|同济大学堂|华东同济学堂,1,1
103,同济大学的校训是？,0,4,严谨求实|宁静致远|同舟共济|团结创新,3,1
104,抗战时期，同济大学曾进行过多次迁校，以下哪个城市不是其迁校目的地？,0,4,金华|宜宾|桂林|成都,4,2
105,在哪一年教育部正式批准将同济大学列入创建世界一流大学（即“985工程”）名单？,0,4,1985年|1996年|2001年|2010年,3,5
106,2000年，同济大学合并了以下哪所高校，进一步扩大了学科覆盖面？,0,4,上海交通大学医学院|上海铁道大学|华东师范大学|上海财经大学,2,5
107,同济大学的校徽中，不包含以下哪种元素？,0,4,龙舟|小人|齿轮|船桨,3,1
108,以下哪个学院没有搬迁至同济大学嘉定校区？,0,4,汽车|测绘|机械|电信,2,1
109,在1952年的调整中，下列哪些大学的土木、建筑、测量各系、科、组被集中于同济大学？（多选）,1,4,交通大学|震旦大学|上海市工业专科学校|中华工商学校,"1,2,3,4",5
110,同济大学的校庆日是每年的哪一天？,0,4,5月20日|6月1日|9月10日|10月15日,1,2
111,以下关于同济大学的历史沿革，说法正确的有（多选）？,1,4,最初由德国医生埃里希·宝隆创办|属于教育部直属高校|“同济”二字来自德语|是“985工程”重点建设高校,"1,2,3,4",2
112,抗战时期，同济大学迁校过程中，坚持办学，培养了大批人才，以下哪些学科在当时已具备较强实力（多选）？,1,4,土木工程|医学|测绘工程|艺术,"1,2,3",2
113,同济大学成为国家“双一流”建设高校后，重点建设的学科领域包括（多选）？,1,4,土木工程|测绘科学与技术|环境科学与工程|建筑与城市规划,"1,2,3,4",2
114,以下哪些建筑是同济大学历史建筑，至今仍在使用（多选）？,1,4,一·二九礼堂|大礼堂|西南一楼|大学生活动中心,"1,2,3",2
115,同济大学在发展过程中，形成了多个校区，以下哪些是同济大学的正式校区（多选）？,1,4,四平路校区|嘉定校区|闵行校区|沪西校区,"1,2,4",2
116,以下关于同济大学医学学科的说法，正确的有（多选）？,1,4,源自建校初期的德文医学堂|曾独立为上海医科大学|现设有医学院和口腔医学院|拥有多家附属医院,"1,3,4",2
117,同济大学的校歌中，包含以下哪些关键词（多选）？,1,4,齐心协力|自强不息|严谨求实|振兴中华,"1,3",5
118,建国后，同济大学在哪些领域为国家建设做出了重要贡献（多选）？,1,4,城市规划|桥梁建设|航天工程|水利工程,"1,2,3,4",2
119,以下哪些是同济大学的特色文化活动（多选）？,1,4,社团“百团大战”|“一·二九”爱国主题宣讲|高雅艺术进校园|新生杯体育比赛,"1,2,3,4",2
120,以下关于同济大学与国外高校合作的说法，正确的有（多选）？,1,4,与德国多所高校有长期合作|设有中外合作办学项目|学生可申请交换生项目|仅与欧洲高校合作,"1,2,3",2
201,同济大学测绘与地理信息学院成立于哪一年？,0,4,1956年|1985年|2000年|2012年,4,2
202,测绘专业最常用的基础测量仪器是？,0,4,全站仪|显微镜|示波器|天平,1,1
203,以下哪种技术属于同济大学测绘学院的优势研究方向？,0,4,卫星导航定位|分子生物学|电动力学|古典文学,1,2
204,测绘专业学生进行野外实习时，以下哪种物品不需要携带？,0,4,听诊器|全站仪|三脚架|棱镜,1,1
205,同济大学测绘学院拥有的重要科研平台是？,0,4,自然资源部现代工程测量重点实验室|城市污染控制国家工程研究中心|海洋地质全国重点实验室|土木工程防灾减灾全国重点实验室,1,2
206,以下关于GIS（地理信息系统）的说法，正确的有（多选）？,1,4,是测绘专业的核心课程之一|可用于城市规划|能实现空间数据可视化|是用于输入、存储、分析和显示地理数据的计算机系统,"1,2,3,4",2
207,3S系统指的是（多选）？,1,4,全自动绘图系统(ADS)|遥感(RS)|地理信息系统(GIS)|全球导航卫星系统(GNSS/GPS),"2,3,4",2
208,以下哪些是测绘工程专业的核心课程（多选）？,1,4,测量学|量子力学|地理信息系统|误差理论与测量平差,"1,3,4",2
209,同济大学测绘学院在以下哪些领域有突出成果（多选）？,1,4,卫星导航定位技术|遥感图像处理|精密工程测量|建筑设计,"1,2,3",2
210,以下哪些是测量实习的内容（多选）？,1,4,水准测量|导线测量|地形测量|地形成图,"1,2,3,4",2
301,同济大学的主校门位于？,0,4,赤峰路50号|赤峰路200号|四平路1239号|国康路99号,3,1
302,衷和楼是同济百年校庆的标志性建筑之一，下列关于衷和楼的说法错误的是？,0,4,原名综合楼|中庭等公共空间外包混凝土幕墙|除会议室、办公室外还设有阶梯教室|地上有21层，象征21世纪,2,2
303,每年四月初吸引许多师生和公众前来游览的樱花大道位于哪条路上？,0,4,南大道|景行路|东大道|爱校路,4,2
304,同济大学校史馆位于哪栋楼内？,0,4,同文楼|文远楼|同创楼|汇文楼,3,5
305,下列有关同济大学四平路校区内的毛主席塑像的说法中，错误的是,0,4,该塑像于1967年7月1日落成|毛主席背手呈“闲庭信步”的形象|为上海高校中第一尊毛泽东塑像|毛主席像 7.1 米高,2,2
306,同济高等讲堂经常在哪栋楼里举行？,0,4,教学南楼|一·二九大楼|行政楼|逸夫楼,4,2
307,同济大学大礼堂被誉为“远东第一跨”，下列说法正确的有（多选）？,1,4,1962年建成时为亚洲最大的无柱中空大礼堂|最初的建造需求为饭厅兼礼堂|2007年完成外立面改造和更新扩建|采用自然通风和机械通风相结合,"1,2,3,4",2
308,同济大学四平路校区内的室内羽毛球场地分布在（多选）？,1,4,攀岩馆|一·二九训练馆|拳操房|体育馆,"1,2,4",5
309,以下哪些建筑是同济大学四平路校区的历史保护建筑？,1,4,中法中心|旭日楼|文远楼|图书馆,"2,3,4",5
310,同济校园内现存最早的建筑是？,0,4,衷和楼|经纬楼|一·二九大楼|图书馆,3,2
311,下列学院中哪些的本部位于四平路校区（多选）？,1,4,马克思主义学院|物理科学与工程学院|测绘与地理信息学院|材料科学与工程学院,"1,2,3",5
312,以下关于一·二九学生运动纪念园的说法，正确的有（多选）？,1,4,1987年纪念园落成|采用青石、汉白玉为基色|园中石壁上铭刻着同济烈士的英名|已被确定为杨浦区爱国主义教育基地,"1,2,3,4",2
313,以下属于女生宿舍的楼宇有（多选）？,1,4,学三楼|西南八楼|西南九楼|西南二楼,"1,3,4",2
314,以下属于男生宿舍的楼宇有（多选）？,1,4,西南九楼|西南八楼|西北五楼|西南七楼,"2,3,4",2
315,同济大学四平路校区主区内有几个食堂（肯德基和面包房不算）？,0,4,3|4|5|6,3,2
316,同济大学建筑与城市规划学院拥有悠久的历史和雄厚的学科基础。城规学院在四平路校区有几栋教学楼？,0,4,3|4|5|6,2,2
317,以下建筑内有自习区域的有？（多选）,1,4,旭日楼|瑞安楼|图书馆|南北楼,"2,3,4",2
318,下列属于环境科学与工程学院的办公教学楼宇是（多选）？,1,4,致远楼|生态楼|宁静楼|明净楼,"2,4",5
319,以下属于同济大学四平路校区内的工程实验室的是？（多选）,1,4,机械馆|结构试验馆|声学馆|汽车工程实验中心,"1,2,3",2
320,四平路校区下列建筑在最近一年内重新装修的有（多选）？,1,4,西苑饮食广场|海洋楼|西南七楼|运筹楼,"1,3",2
321,“三好坞”春有流水潺湲，夏有榴花明媚，秋有笛声清越，冬有细雪纷飞。三好坞的两座小石桥的名字是（多选）？,1,4,秀隐|隐秀|枕流|瀑虹,"2,3",5
322,下列哪些区域有供人休憩的草坪（多选）？,1,4,一·二九运动场|西南一楼楼前|南楼西侧|南北楼之间,"2,3,4",2
323,同济大学校医院离哪个校门最接近？,0,4,国康路99号|赤峰路200号|四平路1239号|赤峰路50号,4,5
324,下列位于西苑饮食广场周围的建筑有（多选）？,1,4,济阳楼|西南七楼|西南九楼|西南一楼,"1,3,4",2
325,下列位于西大道两侧的建筑有（多选）？,1,4,光学馆|济阳楼|解放楼|实验动物中心,"1,2,4",2
326,下列选项中的两个建筑在正射影像上形状相仿的有？,1,4,西北四楼和西北五楼|青年楼和解放楼|西北一楼和西北二楼|南楼和北楼,"1,4",5
327,国康路99号校门附近的建筑有（多选）？,1,4,学四楼|西北三楼|学五楼|西北二楼,"1,3,4",2
328,以下哪种食物无法在北苑饮食广场享用到？,0,4,烤盘饭|面包|烤串|石锅拌饭,3,2
329,以下哪个食堂提供清真风味餐食？,0,4,北苑饮食广场|三好坞饮食广场|西苑饮食广场|学苑饮食广场,2,2
330,下面是同济学生小王的一天，哪些说法是正确的？（多选）,1,4,早上来到爱校路面包房购买早餐|上午在西北教超二楼购买高数习题册|下午5点半来到一·二九运动场刷锻|晚上去大学生活动中心后的开水房打水,"1,3",5
